GeneName	Start	End
TCEB1P14	20949636	20949966
PRYP6	20952595	20952937
XKRYP2	20973224	20973715
USP9YP10	20987993	20991373
USP9YP28	20994888	21001199
RNU1-41P	20995615	20995776
OFD1P7Y	21010150	21029166
MTCYBP2	21033988	21034158
TTTY14	21034387	21239302
ZNF839P1	21147061	21148284
CD24P4	21154353	21154595
RNU6-255P	21180869	21180973
GAPDHP19	21489455	21490459
BCORP1	21617317	21665039
TXLNG2P	21729199	21768160
AC009977.1	21737895	21738068
RP11-576C2.1	21760074	21760643
RP11-424G14.1	21853827	21856492
KDM5D	21865751	21906825
RCC2P2	22148461	22149738
ZNF886P	22163071	22174090
ZNF885P	22551937	22558682
TTTY10	22627554	22681114
EIF1AY	22737611	22755040
TBL1YP1	22889140	22904786
RPS4Y2	22918050	22942918
HSFY4P	22970662	22973695
AC009494.3	23005142	23005596
GAPDHP17	23023223	23024223
TMEM167AP1	23069230	23069448
RP11-65G9.1	23200175	23206610
TOMM22P1	23292756	23293067
NEFLP1	23382992	23383975
AC010086.1	23473154	23480781
CYorf17	23544840	23548246
RBMY2EP	23556877	23563471
AC010086.5	23567656	23567881
RBMY2TP	23592583	23599131
AC010141.1	23627270	23629049
TSPY14P	23630044	23632569
RBMY1HP	23655405	23663854
AC010141.4	23670185	23672356
RBMY1B	23673224	23687672
RBMY1A1	23673258	23711212
AC010141.6	23693725	23695897
AC010141.8	23717738	23719956
TTTY13	23745486	23756552
TCEB1P5	23793569	23793901
CDY10P	23799361	23800927
USP9YP3	23823812	23835894
USP9YP8	23839132	23843004
CDY11P	23858456	23860106
AC007322.1	24017478	24019697
RBMY1E	24026223	24064214
RBMY1D	24026223	24040673
AC007322.3	24041541	24043706
AC007322.5	24065082	24067253
RBMY2AP	24073668	24083297
AC007322.7	24086159	24087740
OFD1P8Y	24118460	24151496
HSFY5P	24194701	24195494
USP9YP17	24195902	24204260
CDY12P	24210845	24211859
TCEB1P15	24214967	24215298
PRY2	24217903	24242154
AC007359.6	24246961	24293631
TTTY6B	24291113	24292978
RBMY1F	24314689	24329129
TSPY23P	24329997	24332168
RBMY2UP	24344576	24349859
RBMY1KP	24355478	24362727
TTTY5	24442945	24445023
TSPY22P	24452072	24454098
RBMY1J	24454970	24564028
RBMY2FP	24455006	24467972
TTTY25P	24476599	24478647
TSPY21P	24546550	24548715
AC008175.1	24585087	24631739
TTTY6	24585740	24587605
PRY	24636544	24660784
TCEB1P8	24663389	24663720
CDY13P	24666828	24667842
USP9YP24	24674428	24682786
HSFY7P	24683194	24683996
OFD1P9Y	24727136	24760228
RBMY2BP	24795392	24805025
AC016694.2	24816763	24819006
RBMY2WP	24908998	24915934
TTTY17A	24997731	24998862
ZNF736P11Y	25012691	25013903
TTTY4	25082602	25119431
BPY2	25119966	25151612
AC006366.3	25163210	25163968
TRIM60P8Y	25171741	25172810
ZNF736P3Y	25195394	25197342
TRIM60P9Y	25204177	25205333
DAZ1	25275502	25345241
DAZ2	25365594	25437503
PPP1R12BP2	25525631	25538844
SNORA70	25569246	25569383
REREP1Y	25608612	25618427
AC009947.2	25669468	25671516
AC009947.3	25683455	25693089
AC009947.5	25695956	25697532
OFD1P10Y	25727742	25760787
HSFY6P	25803986	25805205
USP9YP18	25805613	25813969
CDY14P	25820526	25821539
TCEB1P16	25824651	25824982
PRYP3	25827587	25840726
AC016752.1	25847479	25850592
XKRYP3	25862069	25872955
USP9YP25	25880340	25882396
USP9YP29	25886405	25892840
RNU1-97P	25887089	25887252
RAB9AP1	25897335	25897907
TRAPPC2P9	25908985	25911730
OFD1P11Y	25917379	25944297
TCEB1P9	25954968	25955206
CDY15P	26001669	26003238
XKRYP4	26063388	26063870
USP9YP13	26066052	26067657
USP9YP11	26081100	26086248
USP9YP12	26092074	26098440
RNU1-86P	26092765	26092918
RAB9AP5	26102716	26106365
TRAPPC2P10	26113711	26116841
OFD1P12Y	26118927	26141228
TCEB1P10	26153058	26153384
CDY1B	26191376	26194166
CDY17P	26196025	26197634
USP9YP35	26223946	26225959
USP9YP31	26227851	26236493
CDY18P	26250254	26252165
AC023274.4	26288505	26303990
GOLGA6L11P	26314334	26320641
DNM1P24	26325463	26329652
AC023274.6	26328624	26329218
CSPG4P2Y	26329581	26333378
CSPG4P3Y	26332656	26338017
AC012005.2	26355714	26361728
GOLGA2P2Y	26356114	26360978
RN7SL818P	26357107	26357382
UBE2Q2P4Y	26378973	26385131
LINC00265-2P	26422392	26423173
CICP2	26424484	26427287
LINC00266-2P	26424828	26437493
RBMY2XP	26542751	26549673
TTTY17B	26631479	26632610
TRIM60P5Y	26640856	26641730
ZNF736P12Y	26646410	26647652
TTTY4B	26716349	26753172
BPY2B	26753707	26785354
AC010153.3	26796955	26797681
TRIM60P10Y	26805484	26806553
ZNF736P2Y	26829804	26831082
TRIM60P11Y	26837938	26839079
DAZ3	26909216	26959626
DAZ4	26980008	27053183
ZNF736P1Y	27131348	27132623
ZNF736P5Y	27164646	27165450
BPY2C	27177048	27208695
TTTY4C	27209230	27246039
ZNF736P4Y	27314746	27315988
TTTY17C	27329790	27330920
RBMY2YP	27412731	27419678
LINC00266-4P	27524447	27540866
CICP1	27535139	27537958
LINC00265-3P	27539301	27540203
UBE2Q2P5Y	27577303	27583462
GOLGA2P3Y	27600708	27606719
Metazoa_SRP	27605054	27605329
AC006328.1	27606157	27606239
CSPG4P4Y	27624416	27632852
CSPG4P1Y	27629055	27632852
DNM1P48	27632787	27633469
AC006328.9	27633431	27633809
GOLGA6L16P	27641798	27648105
AC007562.1	27658448	27673933
CDY19P	27710269	27712180
USP9YP36	27725937	27734591
USP9YP33	27736470	27738492
CDY20P	27764791	27766400
CDY1	27768264	27771049
TCEB1P34	27809047	27809373
OFD1P13Y	27821207	27843493
TRAPPC2P5	27845598	27848709
RAB9AP2	27856055	27859704
USP9YP30	27869163	27870333
RNU1-107P	27869489	27869642
TTTY3	27874637	27879535
USP9YP9	27876158	27881307
USP9YP19	27894743	27896353
XKRYP5	27898535	27899017
CDY22P	27959160	27960713
TCEB1P17	28007090	28007415
OFD1P18Y	28018078	28044800
TRAPPC2P4	28050665	28053397
RAB9AP3	28064470	28065042
USP9YP20	28069535	28075973
RNU1-40P	28075126	28075289
USP9YP21	28079980	28082028
XKRYP6	28089415	28100299
AC007965.1	28111776	28114889
PRYP4	28121660	28134216
TCEB1P11	28137388	28137719
CDY23P	28140831	28141844
USP9YP26	28148401	28155003
HSFY8P	28157582	28158384
OFD1P15Y	28201926	28234640
RBMY2DP	28269821	28279455
REREP2Y	28344478	28354295
AC024067.1	28390498	28390720
PPP1R12BP1	28424070	28500565
RNU6-1314P	28507136	28507239
CYCSP48	28546758	28547377
ANKRD36P1	28555962	28566682
TPTE2P4	28654360	28725837
CYCSP49	28695572	28695890
SLC25A15P1	28732789	28737748
PARP4P1	28740998	28780799
FAM58CP	28772667	28773306
CTBP2P1	59001391	59001635
SPRY3	59100480	59115127
AMDP1	59161254	59162245
DPH3P2	59208305	59208554
VAMP7	59213962	59276439
TCEB1P24	59311663	59311996
TRPC6P	59318041	59318920
IL9R	59330252	59343488
AJ271736.10	59336889	59358305
WASIR1	59347294	59349508
WASH6P	59353497	59358381
DDX11L16	59358329	59360854
